vert1_x, vert1_y, vert1_z, vert2_x, vert2_y, vert2_z, vert3_x, vert3_y, vert3_z
 620.91,  458.57,    0.00,  586.50,  522.47,    0.00,  581.59,  459.80,    0.00
 544.72,  416.78,    0.00,  585.27,  404.49,    0.00,  581.59,  459.80,    0.00
 544.72,  416.78,    0.00,  505.40,  418.01,    0.00,  509.08,  362.71,    0.00
 544.72,  416.78,    0.00,  510.31,  480.69,    0.00,  505.40,  418.01,    0.00
 475.90,  446.28,    0.00,  436.58,  447.51,    0.00,  440.26,  392.21,    0.00
 475.90,  446.28,    0.00,  505.40,  418.01,    0.00,  510.31,  480.69,    0.00
 475.90,  446.28,    0.00,  441.49,  510.18,    0.00,  436.58,  447.51,    0.00
 397.25,  425.39,    0.00,  440.26,  392.21,    0.00,  436.58,  447.51,    0.00
 397.25,  425.39,    0.00,  357.93,  426.62,    0.00,  361.61,  371.31,    0.00
 397.25,  425.39,    0.00,  362.84,  489.29,    0.00,  357.93,  426.62,    0.00
 333.35,  454.88,    0.00,  294.02,  456.11,    0.00,  297.71,  400.81,    0.00
 333.35,  454.88,    0.00,  357.93,  426.62,    0.00,  362.84,  489.29,    0.00
 333.35,  454.88,    0.00,  298.94,  518.78,    0.00,  294.02,  456.11,    0.00
 239.95,  435.22,    0.00,  297.71,  400.81,    0.00,  294.02,  456.11,    0.00
 239.95,  435.22,    0.00,  200.62,  436.45,    0.00,  204.31,  381.15,    0.00
 239.95,  435.22,    0.00,  205.54,  499.12,    0.00,  200.62,  436.45,    0.00
 151.47,  453.65,    0.00,  112.14,  454.88,    0.00,  115.83,  399.58,    0.00
 151.47,  453.65,    0.00,  200.62,  436.45,    0.00,  205.54,  499.12,    0.00
 151.47,  453.65,    0.00,  117.06,  517.55,    0.00,  112.14,  454.88,    0.00
  72.82,  454.88,    0.00,   33.49,  456.11,    0.00,   37.18,  400.81,    0.00
  72.82,  454.88,    0.00,   38.41,  518.78,    0.00,   33.49,  456.11,    0.00
 780.67,  349.19,    0.00,  741.35,  350.42,    0.00,  747.49,  291.43,    0.00
 693.42,  323.39,    0.00,  747.49,  291.43,    0.00,  741.35,  350.42,    0.00
 693.42,  323.39,    0.00,  654.09,  324.62,    0.00,  660.24,  265.63,    0.00
 627.06,  351.65,    0.00,  587.73,  352.88,    0.00,  593.88,  293.89,    0.00
 627.06,  351.65,    0.00,  654.09,  324.62,    0.00,  651.64,  376.23,    0.00
 550.87,  309.87,    0.00,  593.88,  293.89,    0.00,  587.73,  352.88,    0.00
 550.87,  309.87,    0.00,  511.54,  311.10,    0.00,  517.68,  252.11,    0.00
 482.05,  339.36,    0.00,  442.72,  340.59,    0.00,  448.87,  281.60,    0.00
 482.05,  339.36,    0.00,  511.54,  311.10,    0.00,  509.08,  362.71,    0.00
 403.40,  318.47,    0.00,  448.87,  281.60,    0.00,  442.72,  340.59,    0.00
 403.40,  318.47,    0.00,  364.07,  319.70,    0.00,  370.21,  260.71,    0.00
 339.49,  347.96,    0.00,  300.17,  349.19,    0.00,  306.31,  290.21,    0.00
 339.49,  347.96,    0.00,  364.07,  319.70,    0.00,  361.61,  371.31,    0.00
 246.09,  328.30,    0.00,  306.31,  290.21,    0.00,  300.17,  349.19,    0.00
 246.09,  328.30,    0.00,  206.77,  329.53,    0.00,  212.91,  270.54,    0.00
 157.61,  346.74,    0.00,  118.29,  347.96,    0.00,  124.43,  288.98,    0.00
 157.61,  346.74,    0.00,  206.77,  329.53,    0.00,  204.31,  381.15,    0.00
  78.96,  347.96,    0.00,   39.64,  349.19,    0.00,   45.78,  290.21,    0.00
  78.96,  347.96,    0.00,  118.29,  347.96,    0.00,  115.83,  399.58,    0.00
 784.36,  110.78,    0.00,  751.18,   55.48,    0.00,  790.50,   54.25,    0.00
 784.36,  110.78,    0.00,  745.03,  112.01,    0.00,  751.18,   55.48,    0.00
 697.11,   84.98,    0.00,  703.25,   28.45,    0.00,  751.18,   55.48,    0.00
 697.11,   84.98,    0.00,  663.93,   29.68,    0.00,  703.25,   28.45,    0.00
 697.11,   84.98,    0.00,  751.18,   55.48,    0.00,  745.03,  112.01,    0.00
 697.11,   84.98,    0.00,  657.78,   86.21,    0.00,  663.93,   29.68,    0.00
 630.74,  113.24,    0.00,  636.89,   56.71,    0.00,  657.78,   86.21,    0.00
 630.74,  113.24,    0.00,  597.56,   57.94,    0.00,  636.89,   56.71,    0.00
 630.74,  113.24,    0.00,  657.78,   86.21,    0.00,  651.64,  152.57,    0.00
 630.74,  113.24,    0.00,  591.42,  114.47,    0.00,  597.56,   57.94,    0.00
 554.55,   71.46,    0.00,  560.70,   14.93,    0.00,  597.56,   57.94,    0.00
 554.55,   71.46,    0.00,  521.37,   16.16,    0.00,  560.70,   14.93,    0.00
 554.55,   71.46,    0.00,  597.56,   57.94,    0.00,  591.42,  114.47,    0.00
 554.55,   71.46,    0.00,  515.23,   72.69,    0.00,  521.37,   16.16,    0.00
